Configuration,mse,mae,psnr,ssim,fid,is_mean,overall_accuracy,avg_inference_time_ms,peak_memory_mb
Standard,0.03711004,0.106339715,14.996679151762539,0.63293225,inf,1.0,0.5248811990022659,,
Perceptual,0.04262778,0.10266171,14.568605916276633,0.64985675,110.94663938006128,3.0634655952453613,0.5794001519680023,,
Regularized,0.042018835,0.102101006,14.60861605357153,0.6494628,137.99238753249082,3.1975462436676025,0.5282153822481632,,
