epoch,gen_loss,disc_loss,adv_loss,l1_loss,perceptual_loss,val_gen_loss,epoch_time,gpu_memory,configuration
30,93.1510509338379,0.2598262898594985,4.211463485330343,0.18780270048975944,7.015931734085083,110.08271301269531,86.56945705413818,1.6084566116333008,perceptual
31,93.4572108001709,0.023471535075397697,6.551556405842304,0.19248488357663154,6.765716589927673,88.65207717895508,86.84499168395996,1.6084566116333008,perceptual
32,92.68892459106445,0.22634342080244096,4.1398304604040455,0.18922737410664558,6.962635663032532,88.64495544433593,87.08294558525085,1.6084566116333008,perceptual
33,92.37657490539551,0.3702693075314164,2.32363754054904,0.18601977512240409,7.14509596824646,82.7980368347168,86.72757148742676,1.6084566116333008,perceptual
34,91.74277048492432,0.3471625991612673,2.2702497228085994,0.1838492370247841,7.10875970363617,85.17700756835937,86.53845620155334,1.6084566116333008,perceptual
35,91.26898945617675,0.22795736292237415,3.4001832828223706,0.18190763664245604,6.967804265022278,91.38552941894531,86.44530439376831,1.6084566116333008,perceptual
36,91.19427945709228,0.3287484970800579,2.4259019991755486,0.18109090721607207,7.065928684234619,78.94983016967774,86.54443955421448,1.6084566116333008,perceptual
37,90.79810960388184,0.28446547614596784,2.564178425490856,0.17888200056552886,7.0345730972290035,88.90299621582031,86.4033145904541,1.6084566116333008,perceptual
38,91.03623602294923,0.28567478352040054,2.616282205700874,0.17777747145295142,7.064220653533935,91.9098882446289,86.50661897659302,1.6084566116333008,perceptual
39,90.85751843261718,0.283726539503783,2.615516445338726,0.1761351678967476,7.062848492622376,93.69778021240235,86.45425415039062,1.6084566116333008,perceptual
40,90.4458298034668,0.2907861678749323,2.622896995276213,0.17533469668030738,7.028946314811707,83.64600555419922,86.79065322875977,1.6084566116333008,perceptual
41,89.43948457336425,0.30258230305463074,2.56885625565052,0.17353458899259566,6.951716949462891,105.86569171142578,86.91386079788208,1.6084566116333008,perceptual
42,89.68142301177978,0.26039540195744487,2.840850995153189,0.17288643045723437,6.955192870140076,94.8243935546875,86.50130319595337,1.6084566116333008,perceptual
43,90.33502266693115,0.0030773003407521173,6.588239021778107,0.1743647203594446,6.631031160354614,75.21384228515625,86.3683750629425,1.6084566116333008,perceptual
44,90.33935708618164,0.0011479753328458174,7.692178909301758,0.17424808552861212,6.5222369441986086,94.44139892578124,86.33761143684387,1.6084566116333008,perceptual
45,89.82971243286133,0.24443372232851107,3.7802009374797345,0.17188386636972428,6.886112490653992,104.377083984375,86.52224969863892,1.6084566116333008,perceptual
46,89.19281411743164,0.29968022238463166,2.7467820006012915,0.17086719566583633,6.93593124961853,96.13357568359375,86.42790150642395,1.6084566116333008,perceptual
47,88.51148016357422,0.29388476572185757,2.6537405084073544,0.1687146389633417,6.898627570152283,92.67973077392578,86.40085172653198,1.6084566116333008,perceptual
48,87.86212294769287,0.30365051328018305,2.591497158229351,0.16751235468685627,6.8519390153884885,94.97037487792969,86.7526364326477,1.6084566116333008,perceptual
49,87.45495635986327,0.2085237023155205,3.5559795604348183,0.1661583989560604,6.72831369972229,84.6454674987793,86.58090734481812,1.6084566116333008,perceptual
50,86.97000137329101,0.2344652614525985,3.382970601081848,0.16575310845673083,6.701171993255615,90.84891998291016,86.76456069946289,1.6084566116333008,perceptual
51,87.71131639099121,0.300130010496825,2.6581870465278628,0.1661371424496174,6.843941522598267,95.05143408203125,86.56941294670105,1.6084566116333008,perceptual
52,87.12273336029052,0.287154401216656,2.6611396842896937,0.1644832982122898,6.801326378822327,101.97720831298828,86.46588063240051,1.6084566116333008,perceptual
53,86.19205424499512,0.2913417319729924,2.666953291237354,0.16245753897726536,6.72793469619751,90.6351810913086,86.86919856071472,1.6084566116333008,perceptual
54,86.8304736328125,0.28445785623788833,2.748016445457935,0.16307424069941043,6.777503324508667,104.17242224121094,86.46633839607239,1.6084566116333008,perceptual
55,86.42409419250488,0.2737834678441286,2.782554487287998,0.16174350245296956,6.746718936920166,94.03634448242188,86.42302346229553,1.6084566116333008,perceptual
56,86.43461658477783,0.2730675645247102,2.7389585238695147,0.1612118479460478,6.757447329521179,89.47198693847656,86.51620411872864,1.6084566116333008,perceptual
57,86.22156687927246,0.2776480369977653,2.7109547394216063,0.1603097072839737,6.747964157104493,98.94246398925782,86.6033833026886,1.6084566116333008,perceptual
58,85.12258860015869,0.27785511085018516,2.797437069773674,0.15856184981763363,6.646896647453308,100.00950213623047,86.53770852088928,1.6084566116333008,perceptual
59,84.9271882019043,0.26321701688319443,2.761273189276457,0.1574801903516054,6.641789597511291,92.69576403808594,86.49902248382568,1.6084566116333008,perceptual
60,85.06256175231934,0.27395060543715954,2.8367046173810957,0.15719813264906407,6.650604370117187,95.84813464355469,86.44044494628906,1.6084566116333008,perceptual
