epoch,gen_loss,disc_loss,adv_loss,l1_loss,perceptual_loss,val_gen_loss,epoch_time,gpu_memory,configuration
1,125.83493142700195,0.14295893396344037,3.562759394645691,0.29637991717457773,9.263418036460877,82.90778472900391,86.46264982223511,1.6084566116333008,perceptual
2,117.43752528381347,0.0470919938297011,5.957267870903015,0.23230763840675353,8.82494935131073,85.62107598876953,86.60710978507996,1.6084566116333008,perceptual
3,112.39300305175782,0.12049580880301074,3.770035694718361,0.2253657014966011,8.608639688491822,81.06282470703125,86.61945009231567,1.6084566116333008,perceptual
4,112.53424044799804,0.013403866288252174,5.5160753216743466,0.22156258165836334,8.486190687179565,83.13461761474609,86.51769876480103,1.6084566116333008,perceptual
5,112.93152758789063,0.00198886014719028,6.60079194355011,0.21977728569507599,8.435300701141358,71.90026495361329,86.60542893409729,1.6084566116333008,perceptual
6,112.96086676025391,0.0008097840676200576,7.500382266998291,0.21741340860724448,8.371914384841919,70.39993688964844,86.49617552757263,1.6084566116333008,perceptual
7,111.46931837463379,0.0004951104125648271,8.043307633399964,0.2136366632282734,8.206234432220459,74.21259484863282,86.64192509651184,1.6084566116333008,perceptual
8,110.40984854125976,0.08295990479469766,8.013355814814567,0.2102517542541027,8.137131737709046,67.77796545410156,86.6569459438324,1.6084566116333008,perceptual
9,106.42465063476563,0.05938779185758904,5.035380081534385,0.20979380357265473,8.040989007949829,74.62249829101563,86.64594793319702,1.6084566116333008,perceptual
10,106.20174678039551,0.0761100186392432,5.162344386696815,0.20973449742794037,8.006595242500305,87.16123278808594,86.38974690437317,1.6084566116333008,perceptual
11,106.01390878295898,0.0013668139447690919,7.050025899887085,0.20558828407526017,7.84050546836853,93.35931787109375,86.95636439323425,1.6084566116333008,perceptual
12,105.12364822387696,0.0006054491411487106,7.735049340248108,0.20227557396888732,7.716104141235352,80.53318829345703,86.43194699287415,1.6084566116333008,perceptual
13,104.97576876831054,0.00041821131367760243,8.130337791442871,0.20112868654727936,7.673256233215332,102.8437138671875,86.51745557785034,1.6084566116333008,perceptual
14,102.6107130279541,0.10621126471279421,7.31520235145092,0.19882949456572532,7.541256121635437,78.55707312011718,86.49268746376038,1.6084566116333008,perceptual
15,100.4657056427002,0.073929001448676,5.038070971369743,0.19854886850714684,7.557274824142456,79.86540185546875,86.38493824005127,1.6084566116333008,perceptual
16,100.0013442993164,0.0011225909393979237,7.276517056465149,0.19444254139065742,7.328057321548462,80.52571319580078,86.648770570755,1.6084566116333008,perceptual
17,100.63197610473632,0.0006226632722245995,7.917612238883972,0.19338143628835677,7.337622038841247,77.21327920532227,86.58890318870544,1.6084566116333008,perceptual
18,99.89333036804199,0.00039744345295184756,8.37080112361908,0.19163214123249053,7.235931528091431,77.58423016357422,86.560302734375,1.6084566116333008,perceptual
19,97.21622373962403,0.23388349989632842,4.0311887409091,0.19630532801151276,7.355450202941895,77.1604833984375,86.2753598690033,1.6084566116333008,perceptual
20,97.46778567504883,0.22874611831782385,3.308730939209461,0.1984503785967827,7.431401706695556,85.93039727783203,86.48125267028809,1.6084566116333008,perceptual
21,97.50193324279785,0.002907984741963446,6.475406002998352,0.19414831924438478,7.161169515609741,99.19500677490234,86.68871641159058,1.6084566116333008,perceptual
22,96.71005766296386,0.001211250427237246,7.353861035346985,0.19116741371154786,7.023945503234863,99.18918469238281,86.78089594841003,1.6084566116333008,perceptual
23,96.43099220275879,0.00071668509056326,7.84692427444458,0.18946940025687217,6.963712782859802,86.15198114013671,86.51024532318115,1.6084566116333008,perceptual
24,96.58843138122559,0.0004980730203678832,8.214049014091492,0.18901959073543548,6.947242338180542,94.05955810546875,86.72543406486511,1.6084566116333008,perceptual
25,96.03563748168945,0.00038961887391633355,8.530307056427002,0.18761279612779616,6.87440507221222,76.41513330078125,86.3772029876709,1.6084566116333008,perceptual
26,96.00629219055176,0.00029136202399968167,8.79084933567047,0.18611510384082794,6.860393243789673,84.41051556396485,86.66594099998474,1.6084566116333008,perceptual
27,96.14344834899903,0.00020323636783723488,9.117695821762085,0.18486834535002708,6.853891792297364,92.17436303710937,86.54386115074158,1.6084566116333008,perceptual
28,93.48193986511231,0.0579275201554774,6.659735047817231,0.1863230635523796,6.818989840507507,89.65729125976563,86.67782592773438,1.6084566116333008,perceptual
29,93.71255604553222,0.0005952374420303385,8.15614842224121,0.18505204695463182,6.705120290756225,102.54846728515625,86.76323366165161,1.6084566116333008,perceptual
