,mse,mae,psnr,ssim,fid,is_mean,is_std,real_accuracy,fake_accuracy,overall_accuracy,avg_inference_time_ms,peak_memory_mb,throughput_fps,results_path
standard,0.039045047,0.107715674,14.709448939047169,0.6324115,196.2587189654981,2.3705974,0.35037154,0.2233729362487793,0.827892541885376,0.5256327390670776,79.10471439361572,0,12.641471594526188,./results/summary/csv/standard_evaluation_results.csv
perceptual,0.042412072,0.10179964,14.454000020607179,0.6550807,159.88536948810247,2.3962924,0.3434192,0.28724172711372375,0.8806301355361938,0.5839359313249588,76.9778060913086,0,12.990757346524429,./results/summary/csv/perceptual_evaluation_results.csv
regularized,0.04260584,0.103285894,14.480363498537098,0.6438002,195.4424739423991,2.5142176,0.35847256,0.07378615438938141,0.9808109402656555,0.5272985473275185,106.39714241027832,0,9.398748663229105,./results/summary/csv/regularized_evaluation_results.csv
