epoch,gen_loss,disc_loss,adv_loss,l1_loss,tv_loss,val_gen_loss,epoch_time,gpu_memory,configuration
1,29.368226222991943,0.20979772840067745,3.0204677556753157,0.2633964059948921,0.08117974853515625,23.927918380737303,86.48116970062256,2.2755298614501953,regularized
2,27.085686180114745,0.3534028015565127,2.284126143366098,0.24793319815397263,0.0824014892578125,29.72923159790039,86.50631880760193,2.2755298614501953,regularized
3,26.780113285064697,0.21764634802285582,3.302710950255394,0.23468862628936768,0.0853958740234375,32.12667918395996,86.49027919769287,2.2755298614501953,regularized
4,25.979728065490722,0.446627694927156,1.9238792725801468,0.24046858441829683,0.089904052734375,29.81945719909668,86.24524331092834,2.2755298614501953,regularized
5,25.208925186157227,0.53694535779953,1.3681356355547905,0.23831768238544465,0.090212890625,29.75110955810547,86.21287965774536,2.2755298614501953,regularized
6,24.743042209625244,0.555727676987648,1.3127192561924457,0.23421168875694276,0.0915389404296875,22.59208377075195,86.73656702041626,2.2755298614501953,regularized
7,24.811968978881836,0.430714935073629,1.9560054657161237,0.22846662873029708,0.09300634765625,21.209266494750977,86.4044017791748,2.2755298614501953,regularized
8,23.995827857971193,0.5476925059854985,1.2866147769093514,0.22700206845998763,0.090064208984375,21.02768827819824,86.55061411857605,2.2755298614501953,regularized
9,24.05678285598755,0.4591248757969588,1.7937294219136237,0.22253633478283882,0.0941988525390625,30.542962768554688,86.40275049209595,2.2755298614501953,regularized
10,23.402528171539306,0.5485559348762036,1.2688961173295974,0.22124577507376672,0.0905443115234375,22.311124450683593,86.41387510299683,2.2755298614501953,regularized
11,22.924532163619997,0.5486745870113373,1.2612388314008713,0.21654101637005807,0.091916748046875,28.24194805908203,86.41140151023865,2.2755298614501953,regularized
12,22.703502517700194,0.5475520916879177,1.2825888116061688,0.21411762762069703,0.091510009765625,20.842841247558592,86.40520787239075,2.2755298614501953,regularized
13,22.31877368927002,0.5494104039371014,1.263085870027542,0.21046473556756973,0.09214111328125,25.580039260864257,86.22690176963806,2.2755298614501953,regularized
